Instance,Run,Hypervolume,ExecutionTime,InitializationTime,PopulationSize,Generations,ActualEvaluations
Instance5.dat,1,0,143,,100,100000,10000000
Instance5.dat,2,,159,,100,100000,10000000
Instance5.dat,3,0,139,,100,100000,10000000
Instance5.dat,4,0,139,,100,100000,10000000
Instance5.dat,5,0,138,,100,100000,10000000
Instance5.dat,6,0,140,,100,100000,10000000
Instance5.dat,7,0,138,,100,100000,10000000
Instance5.dat,8,0,139,,100,100000,10000000
Instance5.dat,9,0,142,,100,100000,10000000
Instance5.dat,10,0,139,,100,100000,10000000
Instance5.dat,11,0,139,,100,100000,10000000
Instance5.dat,12,0,139,,100,100000,10000000
Instance5.dat,13,,151,,100,100000,10000000
Instance5.dat,14,0,139,,100,100000,10000000
Instance5.dat,15,0,139,,100,100000,10000000
Instance5.dat,16,0,139,,100,100000,10000000
Instance5.dat,17,0,140,,100,100000,10000000
Instance5.dat,18,0,139,,100,100000,10000000
Instance5.dat,19,,155,,100,100000,10000000
Instance5.dat,20,0,140,,100,100000,10000000
