Instance,Run,Hypervolume,ExecutionTime,InitializationTime,PopulationSize,Generations,ActualEvaluations
Instance6.dat,1,0,316,4.401547,100,100000,10000000
Instance6.dat,2,0,323,4.408816,100,100000,10000000
Instance6.dat,3,0,348,4.426931,100,100000,10000000
Instance6.dat,4,0,434,4.426084,100,100000,10000000
Instance6.dat,5,0,415,4.425226,100,100000,10000000
Instance6.dat,6,0,402,4.432470,100,100000,10000000
Instance6.dat,7,0,392,4.422177,100,100000,10000000
Instance6.dat,8,,469,4.434972,100,100000,10000000
Instance6.dat,9,0,409,4.436914,100,100000,10000000
Instance6.dat,10,0,392,4.437044,100,100000,10000000
Instance6.dat,11,0,401,4.421178,100,100000,10000000
Instance6.dat,12,0,395,4.426705,100,100000,10000000
Instance6.dat,13,0,382,4.440921,100,100000,10000000
Instance6.dat,14,0,382,4.446791,100,100000,10000000
Instance6.dat,15,0,355,4.424743,100,100000,10000000
Instance6.dat,16,0,359,4.431781,100,100000,10000000
Instance6.dat,17,0,345,4.429429,100,100000,10000000
Instance6.dat,18,0,342,4.429058,100,100000,10000000
Instance6.dat,19,0,316,4.422884,100,100000,10000000
Instance6.dat,20,0,314,4.461960,100,100000,10000000
