Instance,Run,Hypervolume,ExecutionTime,InitializationTime,PopulationSize,Generations,ActualEvaluations
Instance5.dat,1,0,286,29.917385,100,100000,10000000
Instance5.dat,2,,312,30.580752,100,100000,10000000
Instance5.dat,3,0,286,29.925524,100,100000,10000000
Instance5.dat,4,0,371,29.958452,100,100000,10000000
Instance5.dat,5,0,366,30.043232,100,100000,10000000
Instance5.dat,6,0,378,30.092413,100,100000,10000000
Instance5.dat,7,0,353,30.068525,100,100000,10000000
Instance5.dat,8,0,374,30.108775,100,100000,10000000
Instance5.dat,9,0,358,30.119649,100,100000,10000000
Instance5.dat,10,0,368,30.123692,100,100000,10000000
Instance5.dat,11,0,339,30.136124,100,100000,10000000
Instance5.dat,12,0,339,30.052661,100,100000,10000000
Instance5.dat,13,,394,30.156514,100,100000,10000000
Instance5.dat,14,0,353,30.055143,100,100000,10000000
Instance5.dat,15,0,342,30.089887,100,100000,10000000
Instance5.dat,16,0,319,30.051388,100,100000,10000000
Instance5.dat,17,0,314,30.031649,100,100000,10000000
Instance5.dat,18,0,323,30.061122,100,100000,10000000
Instance5.dat,19,,353,30.000394,100,100000,10000000
Instance5.dat,20,0,314,30.079767,100,100000,10000000
