Instance,Run,Hypervolume,ExecutionTime,InitializationTime,PopulationSize,Generations,ActualEvaluations
Instance10.dat,1,0,3097,,100,100000,10000000
Instance10.dat,2,0,3088,,100,100000,10000000
Instance10.dat,3,0,3072,,100,100000,10000000
Instance10.dat,4,0,3076,,100,100000,10000000
Instance10.dat,5,0,3074,,100,100000,10000000
Instance10.dat,6,0,3074,,100,100000,10000000
Instance10.dat,7,0,3071,,100,100000,10000000
Instance10.dat,8,0,3076,,100,100000,10000000
Instance10.dat,9,0,3074,,100,100000,10000000
Instance10.dat,10,0,3401,,100,100000,10000000
Instance10.dat,11,0,4192,,100,100000,10000000
Instance10.dat,12,0,4270,,100,100000,10000000
Instance10.dat,13,0,4298,,100,100000,10000000
Instance10.dat,14,0,4259,,100,100000,10000000
Instance10.dat,15,0,4325,,100,100000,10000000
Instance10.dat,16,0,4314,,100,100000,10000000
Instance10.dat,17,0,4193,,100,100000,10000000
Instance10.dat,18,0,4300,,100,100000,10000000
Instance10.dat,19,0,4247,,100,100000,10000000
Instance10.dat,20,0,4203,,100,100000,10000000
