Instance,Run,Hypervolume,ExecutionTime,InitializationTime,PopulationSize,Generations,ActualEvaluations
Instance9.dat,1,,184,179.527401,12,8333,99996
Instance9.dat,2,,161,155.319424,12,8333,99996
Instance9.dat,3,,162,156.282751,12,8333,99996
Instance9.dat,4,,163,156.823594,12,8333,99996
Instance9.dat,5,,153,149.064193,12,8333,99996
Instance9.dat,6,,156,150.530771,12,8333,99996
Instance9.dat,7,,155,150.312586,12,8333,99996
Instance9.dat,8,,150,146.337944,12,8333,99996
Instance9.dat,9,,155,148.021421,12,8333,99996
Instance9.dat,10,,150,146.022353,12,8333,99996
