Instance,Run,Hypervolume,ExecutionTime,InitializationTime,PopulationSize,Generations,ActualEvaluations
Instance3.dat,1,,3,0.006442,12,8333,99996
Instance3.dat,2,,3,0.005658,12,8333,99996
Instance3.dat,3,,2,0.007515,12,8333,99996
Instance3.dat,4,,3,0.008169,12,8333,99996
Instance3.dat,5,,3,0.006517,12,8333,99996
Instance3.dat,6,,2,0.008219,12,8333,99996
Instance3.dat,7,,3,0.006247,12,8333,99996
Instance3.dat,8,,4,0.007723,12,8333,99996
Instance3.dat,9,,3,0.007988,12,8333,99996
Instance3.dat,10,,2,0.007200,12,8333,99996
